cv,selected,omega_pre_qc,omega_final,omega_sum,omega_reduced,pruning_ratio,confident,scaffold_count,retention_rate,N_deltaFP,N_deltaFN,N_NAto0,N_NAto1,final_cells,final_muts
0.3,False,73.6,31.5,105.1,42.099999999999994,1.3365079365079364,True,10,0.8222222222222222,10,215,3527,110,353,17
0.4,False,73.6,31.5,105.1,42.099999999999994,1.3365079365079364,True,10,0.8222222222222222,10,215,3527,110,353,17
0.5,False,73.6,31.5,105.1,42.099999999999994,1.3365079365079364,True,10,0.8222222222222222,10,215,3527,110,353,17
0.6,False,73.6,31.5,105.1,42.099999999999994,1.3365079365079364,True,10,0.8222222222222222,10,215,3527,110,353,17
0.7,False,74.1,32.2,106.3,41.89999999999999,1.3012422360248443,True,12,0.8177777777777778,13,192,3512,107,351,17
0.8,False,74.1,32.2,106.3,41.89999999999999,1.3012422360248443,True,12,0.8177777777777778,13,192,3512,107,351,17
0.9,False,55.4,25.900000000000002,81.3,29.499999999999996,1.1389961389961387,True,14,0.82,7,189,3535,79,352,17
1.0,True,55.4,25.900000000000002,81.3,29.499999999999996,1.1389961389961387,True,15,0.82,7,189,3535,79,352,17
